Date;Confirmed;Deaths;Recovered;start_date;lockdown_severity;maximum_together;mentality_grade;government_performance;kindergarten_closed;Highschool closed;University_closed;Grocery_max_in_store;Cinemas closed;sports_games_prohibited_all;Month;Spring holiday;Passenger transport inc transit;Transit direct;Passengers scheduled;Passengers non scheduled;Passengers Europe;Passengers intercontinental;Passengers O&D;Passengers Transfer;Air transport movements;Air transport movements Europe;Air transport movements intercontinental;Cargo;Cargo Europe;Cargo North America;Cargo Latin America;Cargo Middle East;Cargo Far East;Travel advice Italy updated;Second confirmed case;Third Confirmed case;Larger events banned;Events more than 100 banned;Flights cancelled ch, it, ir, s.kor;Restaurants closed;Schools closed;Stricter social distance rules;Decline in patients;Contact professions closed;Work from home;Universities closed;maximum_together_sports;Borders closed third countries;DDVEC_S;FHVEC_S;FG_S;FHX_S;FHXH_S;FHN_S;FHNH_S;FXX_S;FXXH_S;TG_S;TN_S;TNH_S;TX_S;TXH_S;T10N_S;T10NH_S;SQ_S;SP_S;Q_S;DR_S;RH_S;RHX_S;RHXH_S;PG_S;PX_S;PXH_S;PN_S;PNH_S;VVN_S;VVNH_S;VVX_S;VVXH_S;NG_S;UG_S;UX_S;UXH_S;UN_S;UNH_S;EV24_S;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;Population;Children born;Deats total;Immigration;Emmigration;Population Growth
2020-01-22;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;216;13;15;30;5;0;18;50;14;57;34;1;73;13;33;6;0;0;97;27;7;3;22;10365;10377;1;10359;14;2;23;31;18;8;97;98;5;95;2;1;229;12;15;20;1;0;22;40;3;44;1740853;14015;14120;22081;15743;6233
2020-01-23;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;144;17;18;30;12;10;1;40;10;55;27;24;70;12;20;18;4;5;208;0;0;0;1;10311;10358;1;10266;24;1;2;75;16;8;91;98;1;78;19;3;119;13;15;20;6;0;1;30;6;37;1740853;14015;14120;22081;15743;6233
2020-01-24;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;183;35;36;50;14;20;1;70;14;33;21;6;46;14;18;12;0;0;178;0;0;0;1;10232;10257;1;10218;15;21;22;56;15;8;90;96;21;85;13;2;189;21;23;30;11;10;1;70;14;23;1740853;14015;14120;22081;15743;6233
2020-01-25;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;168;42;43;60;12;30;18;80;12;26;16;24;31;1;17;24;0;0;126;0;0;0;1;10207;10221;11;10184;24;7;24;57;11;8;92;98;24;89;12;1;164;28;29;40;2;20;6;60;2;20;1740853;14015;14120;22081;15743;6233
2020-01-26;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;175;50;53;70;21;40;4;120;24;54;8;3;87;18;10;6;25;29;368;27;19;12;24;10133;10177;1;10082;24;3;1;62;21;8;91;98;1;82;18;5;172;37;40;60;24;30;2;100;23;55;1740853;14015;14120;22081;15743;6233
2020-01-27;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;196;57;62;80;1;40;17;120;1;80;64;24;92;13;58;18;0;0;246;60;90;32;22;10015;10075;1;9912;23;42;2;70;12;8;91;95;2;84;13;3;194;44;47;70;24;30;17;140;24;82;1740853;14015;14120;22081;15743;6233
2020-01-28;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;251;82;89;130;12;50;5;190;12;57;39;8;70;1;35;12;21;24;241;46;74;41;7;9927;9982;24;9871;7;50;7;80;15;7;80;92;6;67;15;3;238;55;58;80;11;40;5;180;11;54;1740853;14015;14120;22081;15743;6233
2020-01-29;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;260;81;85;110;11;60;18;160;8;63;49;8;80;24;43;6;8;9;230;13;8;6;8;10055;10099;20;9988;1;63;11;75;7;7;77;81;1;73;13;3;250;46;49;60;9;30;18;140;12;60;1740853;14015;14120;22081;15743;6233
2020-01-30;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;219;81;85;110;1;60;15;180;23;88;70;2;115;22;64;6;19;21;322;31;7;2;15;10044;10090;2;9990;19;18;19;71;12;8;88;97;19;80;12;5;218;54;58;70;1;40;15;150;23;85;1740853;14015;14120;22081;15743;6233
2020-01-31;0;0;0;0;1;1000;7.0;7;0;0;0;1000;0;0;100;0;5074773;0;5061346;13427;3448900;1625873;3011207;2063566;37567;30336;7231;113080;7810;7717;9497;7779;21080;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;227;88;90;120;13;60;9;180;14;104;83;8;125;21;78;12;3;3;173;4;2;2;24;10058;10077;11;10025;1;28;24;70;7;8;89;95;24;84;19;3;226;62;64;80;23;40;6;150;16;109;1740853;14015;14120;22081;15743;6233
