Date;Confirmed;Deaths;Recovered;start_date;NewCases;lockdown_severity;lockdown_severity;maximum_together;mentality_grade;government_performance;kindergarten_closed;Highschool closed;University_closed;Grocery_max_in_store;Cinemas closed;restaurants_closed_to_everyone;first_school_closure;Month;Spring holiday;Passenger transport inc transit;Transit direct;Passengers scheduled;Passengers non scheduled;Passengers Europe;Passengers intercontinental;Passengers O&D;Passengers Transfer;Air transport movements;Air transport movements Europe;Air transport movements intercontinental;Cargo;Cargo Europe;Cargo North America;Cargo Latin America;Cargo Middle East;Cargo Far East;Travel advice Italy updated;Second confirmed case;Third Confirmed case;Larger events banned;Events more than 100 banned;Flights cancelled ch, it, ir, s.kor;Restaurants closed;Stricter social distance rules;Decline in patients;Contact professions closed;Work from home;maximum_together_sports;Borders closed third countries;DDVEC_S;FHVEC_S;FG_S;FHX_S;FHXH_S;FHN_S;FHNH_S;FXX_S;FXXH_S;TG_S;TN_S;TNH_S;TX_S;TXH_S;T10N_S;T10NH_S;SQ_S;SP_S;Q_S;DR_S;RH_S;RHX_S;RHXH_S;PG_S;PX_S;PXH_S;PN_S;PNH_S;VVN_S;VVNH_S;VVX_S;VVXH_S;NG_S;UG_S;UX_S;UXH_S;UN_S;UNH_S;EV24_S;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;TN;TNH;TX;TXH;T10N;T10NH;SQ;SP;Q;DR;RH;RHX;RHXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG;UG;UX;UXH;UN;UNH;EV24;Population;Children born;Deats total;Immigration;Emmigration
2020-01-22;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;216.0;13.0;15.0;30.0;5.0;0.0;18.0;50.0;14.0;57.0;34.0;1.0;73.0;13.0;33.0;6.0;0.0;0.0;97.0;27.0;7.0;3.0;22.0;10365.0;10377.0;1.0;10359.0;14.0;2.0;23.0;31.0;18.0;8.0;97.0;98.0;5.0;95.0;2.0;1.0;229.0;12.0;15.0;20.0;1.0;0.0;22.0;40.0;3.0;44.0;16.0;1.0;62.0;15.0;17.0;6.0;0.0;0.0;111.0;30.0;4.0;1.0;10.0;10368.0;10380.0;2.0;10362.0;14.0;3.0;1.0;21.0;13.0;8.0;98.0;99.0;1.0;96.0;15.0;1.0;1740853;14015;14120;22081;15743
2020-01-23;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;144.0;17.0;18.0;30.0;12.0;10.0;1.0;40.0;10.0;55.0;27.0;24.0;70.0;12.0;20.0;18.0;4.0;5.0;208.0;0.0;0.0;0.0;1.0;10311.0;10358.0;1.0;10266.0;24.0;1.0;2.0;75.0;16.0;8.0;91.0;98.0;1.0;78.0;19.0;3.0;119.0;13.0;15.0;20.0;6.0;0.0;1.0;30.0;6.0;37.0;-17.0;23.0;68.0;13.0;-37.0;24.0;16.0;19.0;252.0;18.0;4.0;2.0;2.0;10312.0;10361.0;1.0;10264.0;24.0;1.0;4.0;62.0;13.0;6.0;95.0;99.0;2.0;80.0;13.0;3.0;1740853;14015;14120;22081;15743
2020-01-24;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;183.0;35.0;36.0;50.0;14.0;20.0;1.0;70.0;14.0;33.0;21.0;6.0;46.0;14.0;18.0;12.0;0.0;0.0;178.0;0.0;0.0;0.0;1.0;10232.0;10257.0;1.0;10218.0;15.0;21.0;22.0;56.0;15.0;8.0;90.0;96.0;21.0;85.0;13.0;2.0;189.0;21.0;23.0;30.0;11.0;10.0;1.0;70.0;14.0;23.0;-6.0;1.0;35.0;14.0;-13.0;6.0;2.0;2.0;197.0;0.0;0.0;0.0;1.0;10235.0;10258.0;1.0;10221.0;14.0;13.0;5.0;50.0;10.0;8.0;93.0;98.0;2.0;87.0;12.0;2.0;1740853;14015;14120;22081;15743
2020-01-25;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;168.0;42.0;43.0;60.0;12.0;30.0;18.0;80.0;12.0;26.0;16.0;24.0;31.0;1.0;17.0;24.0;0.0;0.0;126.0;0.0;0.0;0.0;1.0;10207.0;10221.0;11.0;10184.0;24.0;7.0;24.0;57.0;11.0;8.0;92.0;98.0;24.0;89.0;12.0;1.0;164.0;28.0;29.0;40.0;2.0;20.0;6.0;60.0;2.0;20.0;9.0;24.0;26.0;13.0;10.0;24.0;0.0;0.0;127.0;0.0;0.0;0.0;1.0;10211.0;10224.0;1.0;10189.0;24.0;3.0;24.0;58.0;10.0;8.0;92.0;98.0;24.0;86.0;12.0;1.0;1740853;14015;14120;22081;15743
2020-01-26;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;175.0;50.0;53.0;70.0;21.0;40.0;4.0;120.0;24.0;54.0;8.0;3.0;87.0;18.0;10.0;6.0;25.0;29.0;368.0;27.0;19.0;12.0;24.0;10133.0;10177.0;1.0;10082.0;24.0;3.0;1.0;62.0;21.0;8.0;91.0;98.0;1.0;82.0;18.0;5.0;172.0;37.0;40.0;60.0;24.0;30.0;2.0;100.0;23.0;55.0;5.0;1.0;93.0;15.0;7.0;6.0;45.0;51.0;462.0;13.0;8.0;6.0;24.0;10138.0;10181.0;1.0;10091.0;24.0;2.0;1.0;65.0;17.0;8.0;89.0;99.0;1.0;80.0;13.0;6.0;1740853;14015;14120;22081;15743
2020-01-27;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;196.0;57.0;62.0;80.0;1.0;40.0;17.0;120.0;1.0;80.0;64.0;24.0;92.0;13.0;58.0;18.0;0.0;0.0;246.0;60.0;90.0;32.0;22.0;10015.0;10075.0;1.0;9912.0;23.0;42.0;2.0;70.0;12.0;8.0;91.0;95.0;2.0;84.0;13.0;3.0;194.0;44.0;47.0;70.0;24.0;30.0;17.0;140.0;24.0;82.0;70.0;20.0;94.0;13.0;62.0;24.0;7.0;8.0;212.0;52.0;84.0;23.0;22.0;10022.0;10086.0;1.0;9914.0;23.0;41.0;3.0;70.0;10.0;8.0;89.0;95.0;3.0;81.0;15.0;3.0;1740853;14015;14120;22081;15743
2020-01-28;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;251.0;82.0;89.0;130.0;12.0;50.0;5.0;190.0;12.0;57.0;39.0;8.0;70.0;1.0;35.0;12.0;21.0;24.0;241.0;46.0;74.0;41.0;7.0;9927.0;9982.0;24.0;9871.0;7.0;50.0;7.0;80.0;15.0;7.0;80.0;92.0;6.0;67.0;15.0;3.0;238.0;55.0;58.0;80.0;11.0;40.0;5.0;180.0;11.0;54.0;38.0;23.0;72.0;2.0;32.0;24.0;28.0;32.0;303.0;44.0;52.0;12.0;5.0;9933.0;9988.0;24.0;9875.0;7.0;44.0;22.0;80.0;14.0;7.0;81.0;94.0;5.0;65.0;15.0;4.0;1740853;14015;14120;22081;15743
2020-01-29;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;260.0;81.0;85.0;110.0;11.0;60.0;18.0;160.0;8.0;63.0;49.0;8.0;80.0;24.0;43.0;6.0;8.0;9.0;230.0;13.0;8.0;6.0;8.0;10055.0;10099.0;20.0;9988.0;1.0;63.0;11.0;75.0;7.0;7.0;77.0;81.0;1.0;73.0;13.0;3.0;250.0;46.0;49.0;60.0;9.0;30.0;18.0;140.0;12.0;60.0;44.0;1.0;73.0;15.0;39.0;6.0;21.0;24.0;272.0;10.0;7.0;3.0;9.0;10061.0;10105.0;19.0;9991.0;1.0;62.0;8.0;75.0;4.0;8.0;77.0;86.0;22.0;67.0;15.0;4.0;1740853;14015;14120;22081;15743
2020-01-30;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;219.0;81.0;85.0;110.0;1.0;60.0;15.0;180.0;23.0;88.0;70.0;2.0;115.0;22.0;64.0;6.0;19.0;21.0;322.0;31.0;7.0;2.0;15.0;10044.0;10090.0;2.0;9990.0;19.0;18.0;19.0;71.0;12.0;8.0;88.0;97.0;19.0;80.0;12.0;5.0;218.0;54.0;58.0;70.0;1.0;40.0;15.0;150.0;23.0;85.0;64.0;2.0;114.0;24.0;57.0;6.0;7.0;8.0;294.0;43.0;9.0;2.0;18.0;10052.0;10097.0;3.0;9996.0;19.0;20.0;19.0;73.0;11.0;8.0;87.0;96.0;18.0;78.0;11.0;4.0;1740853;14015;14120;22081;15743
2020-01-31;0.0;0.0;0.0;0.0;0.0;0;1;1000.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;100.0;0.0;5074773.0;0.0;5061346.0;13427.0;3448900.0;1625873.0;3011207.0;2063566.0;37567.0;30336.0;7231.0;113080.0;7810.0;7717.0;9497.0;7779.0;21080.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0;0.0;227.0;88.0;90.0;120.0;13.0;60.0;9.0;180.0;14.0;104.0;83.0;8.0;125.0;21.0;78.0;12.0;3.0;3.0;173.0;4.0;2.0;2.0;24.0;10058.0;10077.0;11.0;10025.0;1.0;28.0;24.0;70.0;7.0;8.0;89.0;95.0;24.0;84.0;19.0;3.0;226.0;62.0;64.0;80.0;23.0;40.0;6.0;150.0;16.0;109.0;89.0;6.0;125.0;22.0;82.0;6.0;0.0;0.0;146.0;5.0;1.0;1.0;18.0;10065.0;10084.0;12.0;10029.0;1.0;60.0;6.0;70.0;1.0;8.0;87.0;92.0;6.0;82.0;23.0;2.0;1740853;14015;14120;22081;15743
