#;BRON:;KONINKLIJK;NEDERLANDS;METEOROLOGISCH;INSTITUUT;(KNMI);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Opmerking:;door;stationsverplaatsingen;en;veranderingen;in;waarneemmethodieken;zijn;deze;tijdreeksen;van;dagwaarden;mogelijk;inhomogeen!;Dat;betekent;dat;deze;reeks;van;gemeten;waarden;niet;geschikt;is;voor;trendanalyse.;Voor;studies;naar;klimaatverandering;verwijzen;we;naar;de;gehomogeniseerde;reeks;maandtemperaturen;van;De;Bilt;<http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt>;of;de;Centraal;Nederland;Temperatuur;<http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;STN;LON(east);LAT(north);ALT(m);NAME;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;240:00:00;4.790;52.318;-3.30;SCHIPHOL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;260:00:00;5.180;52.100;1.90;DE;BILT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;YYYYMMDD;=;Datum;(YYYY=jaar;MM=maand;"DD=dag);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;DDVEC;=;Vectorgemiddelde;windrichting;in;graden;(360=noord;90=oost;180=zuid;270=west;0=windstil/variabel).;Zie;"http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FHVEC;=;Vectorgemiddelde;windsnelheid;(in;0.1;m/s).;Zie;"http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FG;=;Etmaalgemiddelde;windsnelheid;(in;0.1;"m/s);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FHX;=;Hoogste;uurgemiddelde;windsnelheid;(in;0.1;"m/s);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FHXH;=;Uurvak;waarin;FHX;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FHN;=;Laagste;uurgemiddelde;windsnelheid;(in;0.1;"m/s);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FHNH;=;Uurvak;waarin;FHN;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FXX;=;Hoogste;windstoot;(in;0.1;"m/s);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;FXXH;=;Uurvak;waarin;FXX;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;TG;=;Etmaalgemiddelde;temperatuur;(in;0.1;graden;"Celsius);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;TN;=;Minimum;temperatuur;(in;0.1;graden;"Celsius);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;TNH;=;Uurvak;waarin;TN;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;TX;=;Maximum;temperatuur;(in;0.1;graden;"Celsius);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;TXH;=;Uurvak;waarin;TX;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;T10N;=;Minimum;temperatuur;op;10;cm;hoogte;(in;0.1;graden;"Celsius);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;T10NH;=;6-uurs;tijdvak;waarin;T10N;is;"gemeten;";6=0-6;UT;12=6-12;UT;18=12-18;UT;24=18-24;UT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;SQ;=;Zonneschijnduur;(in;0.1;uur);berekend;uit;de;globale;straling;(-1;voor;<0.05;"uur);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;SP;=;Percentage;van;de;langst;mogelijke;"zonneschijnduur;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Q;=;Globale;straling;(in;"J/cm2);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;DR;=;Duur;van;de;neerslag;(in;0.1;"uur);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;RH;=;Etmaalsom;van;de;neerslag;(in;0.1;mm);(-1;voor;<0.05;"mm);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;RHX;=;Hoogste;uursom;van;de;neerslag;(in;0.1;mm);(-1;voor;<0.05;"mm);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;RHXH;=;Uurvak;waarin;RHX;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;PG;=;Etmaalgemiddelde;luchtdruk;herleid;tot;zeeniveau;(in;0.1;hPa);berekend;uit;24;"uurwaarden;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;PX;=;Hoogste;uurwaarde;van;de;luchtdruk;herleid;tot;zeeniveau;(in;0.1;"hPa);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;PXH;=;Uurvak;waarin;PX;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;PN;=;Laagste;uurwaarde;van;de;luchtdruk;herleid;tot;zeeniveau;(in;0.1;"hPa);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;PNH;=;Uurvak;waarin;PN;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;VVN;=;Minimum;opgetreden;"zicht;";00:00;<100;m;1:100-200;m;2:200-300;m;...;49:4900-5000;m;50:5-6;km;56:6-7;km;57:7-8;km;...;79:29-30;km;80:30-35;km;81:35-40;km;...;89:00:00;>70;km);;;;;;;;;;;;;;;;
#;VVNH;=;Uurvak;waarin;VVN;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;VVX;=;Maximum;opgetreden;"zicht;";00:00;<100;m;1:100-200;m;2:200-300;m;...;49:4900-5000;m;50:5-6;km;56:6-7;km;57:7-8;km;...;79:29-30;km;80:30-35;km;81:35-40;km;...;89:00:00;>70;km);;;;;;;;;;;;;;;;
#;VVXH;=;Uurvak;waarin;VVX;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;NG;=;Etmaalgemiddelde;bewolking;(bedekkingsgraad;van;de;bovenlucht;in;achtsten;9=bovenlucht;"onzichtbaar);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;UG;=;Etmaalgemiddelde;relatieve;vochtigheid;(in;"procenten);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;UX;=;Maximale;relatieve;vochtigheid;(in;"procenten);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;UXH;=;Uurvak;waarin;UX;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;UN;=;Minimale;relatieve;vochtigheid;(in;"procenten);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;UNH;=;Uurvak;waarin;UN;is;"gemeten;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;EV24;=;Referentiegewasverdamping;(Makkink);(in;0.1;"mm);";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;STN;YYYYMMDD;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;TN;TNH;TX;TXH;T10N;T10NH;SQ;SP;Q;DR;RH;RHX;RHXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG;UG;UX;UXH;UN;UNH;EV24;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;240;20200101;174;33;38;50;22;20;1;70;2;19;0;10;31;1;2;12;0;0;80;0;0;0;1;10315;10342;1;10288;24;2;2;46;21;8;96;98;1;91;21;1;;;;;;;
;240;20200102;186;55;56;80;24;40;2;110;23;42;14;2;79;24;14;6;0;0;66;0;0;0;1;10230;10283;1;10168;24;5;1;64;23;8;95;98;1;88;23;1;;;;;;;
;240;20200103;249;48;69;100;11;30;19;180;11;76;42;21;105;11;23;24;0;0;84;56;26;6;13;10184;10273;23;10130;11;27;12;70;7;7;88;96;12;76;17;1;;;;;;;
;240;20200104;279;60;62;90;11;20;22;130;9;73;53;4;84;14;43;6;3;4;121;25;8;4;21;10295;10334;24;10273;2;31;20;65;8;8;88;97;20;83;10;2;;;;;;;
;240;20200105;214;46;47;60;15;30;1;100;16;70;62;17;78;11;59;18;0;0;77;0;-1;-1;1;10325;10339;3;10299;24;58;16;70;11;8;90;95;2;81;14;1;;;;;;;
;240;20200106;197;54;57;80;11;30;20;120;11;60;33;19;72;12;22;24;32;41;246;10;7;6;23;10233;10291;1;10185;18;50;23;75;10;7;85;95;23;72;12;3;;;;;;;
;240;20200107;201;59;63;100;24;40;3;150;24;68;29;8;84;24;17;12;31;39;271;3;1;1;18;10230;10255;10;10196;24;36;22;65;21;5;92;97;8;85;21;4;;;;;;;
;240;20200108;235;57;61;90;1;30;18;150;5;104;84;1;122;12;81;6;7;9;161;42;15;8;20;10209;10228;17;10189;2;17;2;68;12;8;94;98;23;89;12;2;;;;;;;
;240;20200109;197;70;73;100;9;30;1;140;8;112;87;1;123;13;84;24;0;0;59;89;46;21;19;10096;10180;1;10060;22;15;3;70;21;8;94;98;1;87;24;1;;;;;;;
;240;20200110;280;31;46;70;10;20;18;130;12;65;20;20;92;1;-8;24;29;36;270;2;1;1;11;10199;10302;24;10078;1;50;10;75;12;6;87;95;22;73;15;4;;;;;;;
;240;20200111;202;73;73;100;18;40;1;150;18;65;31;1;79;21;18;6;4;5;249;0;0;0;1;10265;10304;3;10217;24;70;1;75;4;8;80;90;1;75;17;3;;;;;;;
;240;20200112;220;74;79;110;14;30;22;180;14;78;51;23;108;15;37;24;3;4;108;16;12;5;10;10185;10208;1;10155;14;56;9;75;1;8;85;94;12;78;1;1;;;;;;;
;240;20200113;181;69;70;110;24;40;1;170;24;73;46;7;104;24;37;12;39;48;307;6;2;2;24;10126;10200;1;10014;24;50;3;75;16;6;89;96;3;80;16;4;;;;;;;
;240;20200114;201;109;110;140;18;70;9;220;19;105;80;8;128;20;75;12;0;0;124;75;58;17;3;10014;10032;10;9995;4;56;6;75;17;8;85;91;3;77;20;2;;;;;;;
;240;20200115;206;88;92;130;3;50;16;200;4;92;52;24;122;4;42;24;2;2;66;46;32;18;15;10095;10208;24;10035;1;60;14;80;5;6;80;93;24;66;10;1;;;;;;;
;240;20200116;168;60;64;100;22;40;7;140;22;73;36;8;96;19;29;12;70;85;467;0;0;0;1;10206;10242;8;10155;24;56;8;75;12;6;87;96;5;79;19;6;;;;;;;
;240;20200117;213;59;72;100;18;50;9;170;18;83;59;20;103;15;48;24;10;12;117;13;7;3;13;10137;10181;24;10116;14;59;12;75;1;7;82;96;12;72;23;2;;;;;;;
;240;20200118;264;41;49;80;11;30;16;150;15;50;25;20;76;11;8;24;46;55;386;26;46;17;15;10242;10310;24;10187;1;64;4;74;14;5;84;92;6;75;12;5;;;;;;;
;240;20200119;342;31;32;60;13;10;23;100;13;45;0;24;85;14;-23;24;59;70;425;1;1;1;1;10404;10471;23;10317;1;58;22;70;1;3;84;97;22;66;14;5;;;;;;;
;240;20200120;215;22;25;40;11;10;1;70;14;40;-11;2;81;14;-42;6;4;5;247;0;0;0;1;10464;10477;9;10442;24;1;23;75;12;7;90;98;1;74;14;3;;;;;;;
;240;20200121;199;32;34;50;18;20;2;70;21;23;-5;8;40;13;-17;12;9;11;196;0;0;0;1;10411;10439;1;10385;24;1;2;50;7;7;98;98;1;95;13;2;;;;;;;
;240;20200122;216;13;15;30;5;0;18;50;14;57;34;1;73;13;33;6;0;0;97;27;7;3;22;10365;10377;1;10359;14;2;23;31;18;8;97;98;5;95;2;1;;;;;;;
;240;20200123;144;17;18;30;12;10;1;40;10;55;27;24;70;12;20;18;4;5;208;0;0;0;1;10311;10358;1;10266;24;1;2;75;16;8;91;98;1;78;19;3;;;;;;;
;240;20200124;183;35;36;50;14;20;1;70;14;33;21;6;46;14;18;12;0;0;178;0;0;0;1;10232;10257;1;10218;15;21;22;56;15;8;90;96;21;85;13;2;;;;;;;
;240;20200125;168;42;43;60;12;30;18;80;12;26;16;24;31;1;17;24;0;0;126;0;0;0;1;10207;10221;11;10184;24;7;24;57;11;8;92;98;24;89;12;1;;;;;;;
;240;20200126;175;50;53;70;21;40;4;120;24;54;8;3;87;18;10;6;25;29;368;27;19;12;24;10133;10177;1;10082;24;3;1;62;21;8;91;98;1;82;18;5;;;;;;;
;240;20200127;196;57;62;80;1;40;17;120;1;80;64;24;92;13;58;18;0;0;246;60;90;32;22;10015;10075;1;9912;23;42;2;70;12;8;91;95;2;84;13;3;;;;;;;
;240;20200128;251;82;89;130;12;50;5;190;12;57;39;8;70;1;35;12;21;24;241;46;74;41;7;9927;9982;24;9871;7;50;7;80;15;7;80;92;6;67;15;3;;;;;;;
;240;20200129;260;81;85;110;11;60;18;160;8;63;49;8;80;24;43;6;8;9;230;13;8;6;8;10055;10099;20;9988;1;63;11;75;7;7;77;81;1;73;13;3;;;;;;;
;240;20200130;219;81;85;110;1;60;15;180;23;88;70;2;115;22;64;6;19;21;322;31;7;2;15;10044;10090;2;9990;19;18;19;71;12;8;88;97;19;80;12;5;;;;;;;
;240;20200131;227;88;90;120;13;60;9;180;14;104;83;8;125;21;78;12;3;3;173;4;2;2;24;10058;10077;11;10025;1;28;24;70;7;8;89;95;24;84;19;3;;;;;;;
;240;20200201;240;98;100;120;22;80;3;180;13;104;88;20;120;4;78;24;36;40;389;24;15;7;1;10029;10079;24;10002;9;33;4;70;8;6;80;95;1;66;20;6;;;;;;;
;240;20200202;242;58;70;110;15;30;8;170;14;88;66;9;106;23;65;12;0;0;133;62;62;19;9;10067;10090;2;10029;12;31;12;70;14;8;88;97;9;76;1;2;;;;;;;
;240;20200203;255;78;82;110;1;40;21;170;2;90;63;24;107;13;51;24;31;34;417;8;3;3;19;10095;10124;12;10067;22;57;2;75;22;7;81;91;21;71;23;6;;;;;;;
;240;20200204;294;70;74;110;4;30;17;180;11;54;20;24;81;16;-11;24;24;26;313;23;27;11;14;10158;10297;24;10071;1;43;14;75;4;5;84;97;19;70;1;4;;;;;;;
;240;20200205;269;22;26;50;15;10;5;70;15;48;-3;7;82;14;-34;12;56;60;573;0;0;0;1;10348;10367;11;10307;1;64;1;75;18;6;82;97;8;68;13;7;;;;;;;
;240;20200206;256;20;26;40;3;0;20;70;12;53;12;2;92;13;-18;24;54;58;543;0;0;0;1;10315;10335;1;10301;24;56;5;69;15;5;86;96;2;71;12;7;;;;;;;
;240;20200207;137;45;46;70;23;20;1;100;24;43;0;6;78;15;-22;6;82;87;735;0;0;0;1;10242;10297;1;10187;24;50;5;74;16;2;78;97;5;63;14;9;;;;;;;
;240;20200208;186;48;52;60;1;40;8;100;24;67;36;2;93;12;28;6;2;2;176;33;7;3;13;10172;10183;1;10152;24;30;13;75;1;6;86;97;13;71;1;2;;;;;;;
;240;20200209;209;139;145;190;16;90;1;310;16;95;76;1;117;20;69;6;0;0;108;43;107;47;20;9969;10143;1;9840;22;42;17;75;5;8;82;97;19;73;9;2;;;;;;;
;240;20200210;253;127;132;160;9;80;21;250;5;76;43;21;99;1;33;24;26;27;444;19;30;15;5;9925;9977;12;9855;1;58;3;75;21;8;72;87;20;60;13;6;;;;;;;
;240;20200211;263;142;143;160;1;130;17;240;3;62;37;17;77;13;34;18;31;32;509;11;5;3;17;10019;10069;24;9960;1;66;2;80;18;7;60;66;17;52;15;7;;;;;;;
;240;20200212;256;93;96;130;1;40;22;200;1;53;13;23;76;13;1;24;34;35;484;1;1;1;16;10115;10145;18;10072;1;66;24;80;17;6;68;88;24;61;12;6;;;;;;;
;240;20200213;190;48;63;100;10;40;2;160;10;57;31;1;84;13;21;6;9;9;219;65;106;24;10;10009;10123;1;9939;15;50;11;70;4;7;88;93;11;82;13;3;;;;;;;
;240;20200214;232;38;55;70;5;40;1;110;23;73;57;4;90;12;54;6;21;21;443;0;-1;-1;1;10172;10205;18;10072;1;59;4;80;14;8;80;94;4;69;14;6;;;;;;;
;240;20200215;194;100;101;150;22;60;3;230;22;103;73;5;130;22;66;6;9;9;351;2;1;1;19;10115;10183;1;10032;24;59;23;75;15;8;80;88;7;70;22;5;;;;;;;
;240;20200216;215;130;139;160;8;100;18;250;16;114;81;19;148;15;73;24;0;0;141;87;130;56;16;9983;10034;24;9923;15;28;11;75;2;8;84;97;16;69;24;2;;;;;;;
