country,covid19_first_date,Population_2020,Density_KM2m,Urban_pop_pct,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_total,first_school_closure_date,airport_traffic_2018_thousands,gdp_usd_million
Afghanistan,2020-02-24 22:00:00,38928346.0,60,25%,,,,43.2,54.2,2.6,1.03,2020-03-03 00:00:00,1722613.0,18734.0
Albania,2020-03-09 22:00:00,2877797.0,105,63%,53.05,,,17.4,68.9,13.2,0.98,2020-03-11 00:00:00,303137.0,15418.0
Algeria,2020-02-25 22:00:00,43851044.0,18,73%,54.86,,,29.3,64.5,6.2,1.03,2020-03-12 00:00:00,6442442.0,172781.0
Andorra,2020-03-02 22:00:00,77265.0,164,88%,,,,,,,1.06,2020-03-16 00:00:00,,
Angola,2020-03-20 22:00:00,32866272.0,26,67%,,,,46.8,50.8,2.4,1.02,2020-03-24 00:00:00,1516628.0,91527.0
Antigua and Barbuda,2020-03-13 22:00:00,97929.0,223,26%,,,,23.9,69.2,6.9,0.9,,580174.2,1688.0
Argentina,2020-03-03 22:00:00,45195774.0,17,93%,69.25,,,24.9,63.9,11.2,0.98,2020-03-16 00:00:00,18081937.0,445469.0
Armenia,2020-03-01 22:00:00,2963243.0,104,63%,,,,20.0,68.8,11.2,0.94,2020-03-02 00:00:00,,13444.0
Australia,2020-01-23 12:00:00,25499884.0,3,86%,77.38,,9.1,19.0,65.5,15.5,0.99,2020-03-24 00:00:00,75667645.0,1376255.0
Austria,2020-02-25 22:00:00,9006398.0,109,57%,78.73,7.37,21.8,14.1,66.7,19.2,0.96,2020-03-16 00:00:00,12935505.0,447718.0
Azerbaijan,2020-02-28 22:00:00,10139177.0,123,56%,43.18,,,23.3,70.7,6.0,0.98,2020-03-03 00:00:00,2279546.0,47171.0
Bahamas,2020-03-22 22:00:00,393244.0,39,86%,,,,20.5,70.6,9.0,,2020-03-16 00:00:00,,
Bahrain,2020-02-24 22:00:00,1701575.0,"2,239",89%,,,,19.7,77.9,2.4,-,2020-02-26 00:00:00,5877003.0,38184.0
Bangladesh,2020-03-08 22:00:00,164689383.0,"1,265",39%,42.8,,,28.4,66.5,5.1,0.97,2020-03-17 00:00:00,5984155.0,317465.0
Barbados,2020-03-17 22:00:00,287375.0,668,31%,,,,19.1,66.0,15.0,0.94,2020-03-19 00:00:00,,5189.0
Belarus,2020-02-28 22:00:00,9449323.0,47,79%,59.04,,,16.7,68.5,14.8,0.87,,2760168.0,62572.0
Belgium,2020-02-04 22:00:00,11589623.0,383,98%,74.34,5.76,15.9,17.1,64.3,18.6,0.97,2020-03-13 00:00:00,13639487.0,517609.0
Belize,2020-03-23 22:00:00,397628.0,17,46%,,,,31.4,64.7,3.9,1.03,2020-03-23 00:00:00,1297533.0,2001.0
Benin,2020-03-16 22:00:00,12123200.0,108,48%,,,,42.7,54.1,3.2,1.01,2020-03-30 00:00:00,,14374.0
Bhutan,2020-03-06 22:00:00,771608.0,20,46%,,,,26.6,68.6,4.9,1.09,2020-03-06 00:00:00,275849.0,2842.0
Bolivia,2020-03-11 22:00:00,11673021.0,11,69%,,,,31.6,61.7,6.7,0.98,,4122113.0,42401.0
Bosnia and Herzegovina,2020-03-05 22:00:00,3280819.0,64,52%,,,,14.1,69.3,16.6,0.95,2020-03-11 00:00:00,,20106.0
Brazil,2020-01-23 12:00:00,212559417.0,25,88%,56.29,,,21.7,69.7,8.6,0.97,2020-03-12 00:00:00,102000000.0,1847020.0
Brunei,2020-03-09 22:00:00,437479.0,83,80%,,,,23.0,72.4,4.6,0.98,2020-03-30 00:00:00,1234455.0,12455.0
Bulgaria,2020-03-08 22:00:00,6948445.0,64,76%,55.4,,,14.2,65.0,20.8,0.95,2020-03-16 00:00:00,1022645.0,66250.0
Burkina Faso,2020-03-10 22:00:00,20903273.0,76,31%,,,,45.2,52.4,2.4,0.99,2020-03-16 00:00:00,151531.0,14593.0
Cabo Verde,2020-03-20 22:00:00,555987.0,138,68%,,,,30.2,65.3,4.5,0.94,,140429.0,
Cambodia,2020-01-27 20:30:00,16718965.0,95,24%,,,,31.3,64.3,4.4,0.94,2020-03-08 00:00:00,1411059.0,26730.0
Cameroon,2020-03-06 22:00:00,26545863.0,56,56%,,,,42.7,54.1,3.2,1.01,2020-03-18 00:00:00,265136.0,38632.0
Canada,2020-01-26 23:00:00,37742154.0,4,81%,71.58,2.52,13.5,16.0,67.0,17.0,0.98,2020-03-16 00:00:00,89380000.0,1730914.0
Central African Republic,2020-03-15 22:00:00,4829767.0,8,43%,,,,43.2,53.1,3.7,0.98,,,2321.0
Chad,2020-03-19 22:00:00,16425864.0,13,23%,,,,47.1,50.4,2.5,0.93,2020-03-20 00:00:00,,11026.0
