date,0s_confirmed,0s_death,10s_confirmed,10s_death,20s_confirmed,20s_death,30s_confirmed,30s_death,40s_confirmed,40s_death,50s_confirmed,50s_death,60s_confirmed,60s_death,70s_confirmed,70s_death,80s_confirmed,80s_death,male_confirmed,male_death,female_confirmed,female_death
2020-03-02,32,0,169,0,1235,0,506,1,633,1,834,5,530,6,192,6,81,3,1591,13,2621,9
2020-03-03,34,0,204,0,1417,0,578,1,713,1,952,5,597,7,224,9,93,5,1810,16,3002,12
2020-03-04,34,0,233,0,1575,0,631,1,790,1,1051,5,646,7,260,12,108,6,1996,20,3332,12
2020-03-05,38,0,257,0,1727,0,659,1,847,1,1127,5,699,8,288,13,124,7,2149,21,3617,14
2020-03-06,45,0,292,0,1877,0,693,1,889,1,1217,5,763,11,340,14,168,10,2345,25,3939,17
2020-03-07,52,0,327,0,2038,0,727,1,941,1,1287,5,830,11,384,14,191,12,2522,26,4245,18
2020-03-08,58,0,360,0,2133,0,760,1,975,1,1349,5,878,11,409,18,212,14,2694,29,4440,20
2020-03-09,66,0,381,0,2190,0,779,1,1005,1,1391,5,916,12,438,18,216,14,2799,31,4583,20
2020-03-10,67,0,393,0,2213,0,789,1,1030,1,1416,5,929,13,454,19,222,15,2852,33,4661,21
2020-03-11,75,0,405,0,2238,0,804,1,1082,1,1472,6,960,14,483,21,236,17,2947,35,4808,25
2020-03-12,76,0,412,0,2261,0,812,1,1101,1,1495,6,972,14,497,24,243,20,2994,38,4875,28
2020-03-13,77,0,421,0,2274,0,823,1,1117,1,1523,6,985,14,506,24,253,21,3043,39,4936,28
2020-03-14,81,0,424,0,2287,0,833,1,1133,1,1551,6,999,14,515,27,263,23,3100,41,4986,31
2020-03-15,83,0,427,0,2301,0,842,1,1141,1,1568,6,1012,14,525,28,263,25,3136,41,5026,34
2020-03-16,85,0,432,0,2313,0,849,1,1147,1,1585,6,1024,14,531,28,270,25,3169,41,5067,34
2020-03-17,86,0,436,0,2330,0,856,1,1164,1,1602,6,1033,16,539,29,274,28,3200,44,5120,37
2020-03-18,87,0,438,0,2342,0,873,1,1171,1,1615,6,1059,16,542,29,286,31,3240,45,5173,39
2020-03-19,91,0,444,0,2358,0,886,1,1181,1,1642,7,1080,17,562,34,321,31,3296,49,5269,42
2020-03-20,97,0,452,0,2365,0,893,1,1193,1,1656,7,1099,17,568,35,329,33,3330,51,5322,43
2020-03-21,99,0,457,0,2380,0,900,1,1203,1,1672,7,1118,17,589,37,381,39,3387,54,5412,48
2020-03-22,101,0,460,0,2396,0,909,1,1221,1,1691,7,1132,17,595,37,392,41,3430,55,5467,49
2020-03-23,103,0,460,0,2417,0,917,1,1228,1,1702,7,1139,18,599,38,396,46,3457,58,5504,53
2020-03-24,105,0,468,0,2438,0,921,1,1234,1,1716,8,1146,20,608,38,401,52,3497,60,5540,60
2020-03-25,105,0,475,0,2473,0,943,1,1246,1,1724,10,1154,20,611,39,406,55,3550,64,5587,62
2020-03-26,106,0,488,0,2508,0,955,1,1252,1,1738,10,1162,20,616,41,416,58,3598,68,5643,63
2020-03-27,108,0,496,0,2532,0,960,1,1256,1,1752,10,1170,21,630,41,428,65,3638,75,5694,64
2020-03-28,109,0,501,0,2567,0,978,1,1278,1,1780,10,1201,21,632,41,432,70,3736,77,5742,67
2020-03-29,111,0,508,0,2602,0,993,1,1292,1,1798,10,1210,21,635,43,434,76,3799,78,5784,74
2020-03-30,112,0,513,0,2630,0,1002,1,1297,1,1812,10,1218,21,640,45,437,80,3834,80,5827,78
2020-03-31,112,0,515,0,2656,0,1012,1,1312,1,1851,10,1235,22,651,46,442,82,3905,82,5881,80
