Date,Confirmed,Recovered,Deaths,NewCases,lockdown_severity,maximum_together,mentality_grade,government_performance,kindergarten_closed,Highschool closed,restaurants_closed_to_everyone,Month,Spring holiday,Passenger transport inc transit,Transit direct,Cargo,Cargo Europe,Cargo Far East,Travel advice Italy updated,Second confirmed case,Third Confirmed case,Stricter social distance rules,Decline in patients,Contact professions closed,DDVEC_S,FHVEC_S,FHXH_S,FHN_S,FHNH_S,FXXH_S,TG_S,TN_S,TNH_S,TXH_S,T10NH_S,SQ_S,DR_S,RH_S,RHXH_S,PG_S,PXH_S,PNH_S,VVN_S,VVNH_S,VVX_S,VVXH_S,NG_S,UG_S,UX_S,UXH_S,UNH_S,FHXH,FHNH,FXXH,TNH,TXH,T10NH,RHX,RHXH,VVN,VVNH,VVXH,UX,UXH,UNH,Population,Children born,Deats total,Immigration,Emmigration
2020-01-22,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,13.0,5.0,0.0,18.0,14.0,57.0,34.0,1.0,13.0,6.0,0.0,27.0,7.0,22.0,10365.0,1.0,14.0,2.0,23.0,31.0,18.0,8.0,97.0,98.0,5.0,2.0,1.0,22.0,3.0,1.0,15.0,6.0,1.0,10.0,3.0,1.0,13.0,99.0,1.0,15.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,17.0,12.0,10.0,1.0,10.0,55.0,27.0,24.0,12.0,18.0,4.0,0.0,0.0,1.0,10311.0,1.0,24.0,1.0,2.0,75.0,16.0,8.0,91.0,98.0,1.0,19.0,6.0,1.0,6.0,23.0,13.0,24.0,2.0,2.0,1.0,4.0,13.0,99.0,2.0,13.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,35.0,14.0,20.0,1.0,14.0,33.0,21.0,6.0,14.0,12.0,0.0,0.0,0.0,1.0,10232.0,1.0,15.0,21.0,22.0,56.0,15.0,8.0,90.0,96.0,21.0,13.0,11.0,1.0,14.0,1.0,14.0,6.0,0.0,1.0,13.0,5.0,10.0,98.0,2.0,12.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,42.0,12.0,30.0,18.0,12.0,26.0,16.0,24.0,1.0,24.0,0.0,0.0,0.0,1.0,10207.0,11.0,24.0,7.0,24.0,57.0,11.0,8.0,92.0,98.0,24.0,12.0,2.0,6.0,2.0,24.0,13.0,24.0,0.0,1.0,3.0,24.0,10.0,98.0,24.0,12.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,50.0,21.0,40.0,4.0,24.0,54.0,8.0,3.0,18.0,6.0,25.0,27.0,19.0,24.0,10133.0,1.0,24.0,3.0,1.0,62.0,21.0,8.0,91.0,98.0,1.0,18.0,24.0,2.0,23.0,1.0,15.0,6.0,6.0,24.0,2.0,1.0,17.0,99.0,1.0,13.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,57.0,1.0,40.0,17.0,1.0,80.0,64.0,24.0,13.0,18.0,0.0,60.0,90.0,22.0,10015.0,1.0,23.0,42.0,2.0,70.0,12.0,8.0,91.0,95.0,2.0,13.0,24.0,17.0,24.0,20.0,13.0,24.0,23.0,22.0,41.0,3.0,10.0,95.0,3.0,15.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,82.0,12.0,50.0,5.0,12.0,57.0,39.0,8.0,1.0,12.0,21.0,46.0,74.0,7.0,9927.0,24.0,7.0,50.0,7.0,80.0,15.0,7.0,80.0,92.0,6.0,15.0,11.0,5.0,11.0,23.0,2.0,24.0,12.0,5.0,44.0,22.0,14.0,94.0,5.0,15.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,81.0,11.0,60.0,18.0,8.0,63.0,49.0,8.0,24.0,6.0,8.0,13.0,8.0,8.0,10055.0,20.0,1.0,63.0,11.0,75.0,7.0,7.0,77.0,81.0,1.0,13.0,9.0,18.0,12.0,1.0,15.0,6.0,3.0,9.0,62.0,8.0,4.0,86.0,22.0,15.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,81.0,1.0,60.0,15.0,23.0,88.0,70.0,2.0,22.0,6.0,19.0,31.0,7.0,15.0,10044.0,2.0,19.0,18.0,19.0,71.0,12.0,8.0,88.0,97.0,19.0,12.0,1.0,15.0,23.0,2.0,24.0,6.0,2.0,18.0,20.0,19.0,11.0,96.0,18.0,11.0,1740853.0,14015.0,14120.0,22081.0,15743.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,1000.0,7.0,8.0,0.0,0.0,1.0,100.0,0.0,5074773.0,0.0,113080.0,7810.0,21080.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,88.0,13.0,60.0,9.0,14.0,104.0,83.0,8.0,21.0,12.0,3.0,4.0,2.0,24.0,10058.0,11.0,1.0,28.0,24.0,70.0,7.0,8.0,89.0,95.0,24.0,19.0,23.0,6.0,16.0,6.0,22.0,6.0,1.0,18.0,60.0,6.0,1.0,92.0,6.0,23.0,1740853.0,14015.0,14120.0,22081.0,15743.0
