Date,Confirmed,Deaths,Recovered,start_date,lockdown_severity,mentality_grade,government_performance,kindergarten_closed,Highschool closed,University_closed,Cinemas closed,sports_games_prohibited_all,Month,Spring holiday,Second confirmed case,Third Confirmed case,Larger events banned,Events more than 100 banned,Restaurants closed,Schools closed,Stricter social distance rules,Decline in patients,Work from home,Borders closed third countries,Population,flightline_num_all,cargo_ton,passenger_all,passenger_international,passenger_domestic,passenger_direct,passenger_transfer
2020-01-22,1,0,0,0,1,3,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-23,1,0,0,0,1,3,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-24,2,0,0,0,1,3,8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-25,2,0,0,0,1,3,8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-26,3,0,0,0,1,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-27,4,0,0,0,1,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-28,4,0,0,0,1,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-29,4,0,0,0,1,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-30,4,0,0,0,1,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-01-31,11,0,0,0,1,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753
2020-02-01,12,0,0,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-02,15,0,0,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-03,15,0,0,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-04,16,0,0,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-05,19,0,0,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-06,23,0,0,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-07,24,0,1,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-08,24,0,1,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-09,25,0,3,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
2020-02-10,27,0,3,0,1,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093
