Date,Confirmed,Deaths,Recovered,start_date,lockdown_severity,Oxford_LegacyStringencyIndex,mentality_grade,government_performance,kindergarten_closed,Highschool closed,University_closed,Cinemas closed,sports_games_prohibited_all,Month,Spring holiday,Second confirmed case,Third Confirmed case,Larger events banned,Events more than 100 banned,Restaurants closed,Schools closed,Stricter social distance rules,Decline in patients,Work from home,Borders closed third countries,Population,flightline_num_all,cargo_ton,passenger_all,passenger_international,passenger_domestic,passenger_direct,passenger_transfer,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,ave_relative_humidity
2020/1/22,1,0,0,0,1,0,3,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,4.48125,1.675,6.8875,5.9625,3.8875,67.6375
2020/1/23,1,0,0,0,1,0,3,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,6.3125,3.43125,10.64375,2.0625,4.25625,77.18125
2020/1/24,2,0,0,0,1,0,3,8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,5.625,1.63125,10.65,1.3875,4.15,70.7
2020/1/25,2,0,0,0,1,0,3,8,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,6.0875,3.11875,9.8625,0.225,3.41875,74.58125
2020/1/26,3,0,0,0,1,0,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,7.05,2.65,11.1625,1.26875,6.0625,69.3875
2020/1/27,4,0,0,0,1,0,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,6.4375,4.6125,8.70625,24.25625,7.31875,77.3
2020/1/28,4,0,0,0,1,0,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,7.375,4.7625,10.64375,1.0875,4.825,71.1125
2020/1/29,4,0,0,0,1,0,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,6.625,3.85625,10.21875,0.35,4.26875,68.01875
2020/1/30,4,0,0,0,1,0,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,5.38125,2.46875,9.69375,1.15625,4.64375,67.10625
2020/1/31,11,0,0,0,1,4.76,3,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,51269185,35718,125934,6309369,6261721,47648,5549616,759753,4.0375,1,8.36875,0.00625,4.3875,68.825
2020/2/1,12,0,0,0,1,19.05,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,3.66875,-0.6,8.575,0,5.10625,67.025
2020/2/2,15,0,0,0,1,19.05,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,3.58125,-0.45625,8.51875,0,4.35,61.3
2020/2/3,15,0,0,0,1,26.19,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,2.45625,-0.85625,6.3,0.00625,5.625,52.225
2020/2/4,16,0,0,0,1,34.76,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,1.58125,-3.66875,6.93125,0.3625,5.1875,51.45
2020/2/5,19,0,0,0,1,34.76,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,-2.75,-6,1.48125,0.08125,6.55625,41.3375
2020/2/6,23,0,0,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,-2.90625,-8,2.50625,0,4.78125,45.6375
2020/2/7,24,0,1,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,1.1125,-3.95625,5.98125,0,4.95,50.35
2020/2/8,24,0,1,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,2.25625,-0.70625,6.44375,0.1,6.24375,52.84375
2020/2/9,25,0,3,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,1.60625,-3.325,6.9,0,5.1,52.66875
2020/2/10,27,0,3,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,5.03125,0.0875,11.36875,0,4.61875,55.9875
2020/2/11,28,0,3,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,7.28125,-0.03125,14.275,0.00625,3.6125,54.48125
2020/2/12,28,0,7,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,8.91875,6.75625,10.9,13.5,4.5875,87.525
2020/2/13,28,0,7,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,9.00625,5.9125,12.8625,0.04375,4.325,82.225
2020/2/14,28,0,7,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,9.45,5.34375,15.91875,0,3.34375,74.60625
2020/2/15,28,0,9,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,10.66875,5.85,16.50625,1.1625,4.925,75.89375
2020/2/16,29,0,9,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,2.475,-1.35,8.8875,6.83125,8.09375,76.6125
2020/2/17,30,0,10,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,-2.3125,-4.425,0.25,1.0125,8.00625,63.475
2020/2/18,31,0,12,0,1,38.33,3,8,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,-0.775,-5.61875,4.58125,0.0125,6.05625,50.9625
2020/2/19,31,0,12,0,1,38.33,3,8,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,3.425,-2.19375,9.5375,0,4.4375,56.425
2020/2/20,104,1,16,0,1,38.33,6,8,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,6.23125,1.2875,12.56875,0,3.64375,61.44375
2020/2/21,204,2,16,1,2,47.86,6,8,1,1,1,0,1,2,0,1,1,0,0,0,1,1,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,8.33125,2.00625,14.49375,2.2125,4.625,66.175
2020/2/22,433,2,16,1,2,47.86,6,8,1,1,1,0,1,2,0,1,1,0,0,0,1,1,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,6.95625,2.775,10.73125,1.55,8.3875,56.4375
2020/2/23,602,6,18,1,2,52.62,6,8,1,1,1,0,1,2,0,1,1,0,0,0,1,1,0,0,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,4.3625,-0.5125,9.95,0,5.41875,49.86875
2020/2/24,833,8,18,1,2,63.33,6,8,1,1,1,0,1,2,0,1,1,0,0,0,1,1,0,1,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,8.44375,1.125,15.03125,0.16875,4.20625,52.1375
2020/2/25,977,10,22,1,2,63.33,6,8,1,1,1,0,1,2,0,1,1,0,0,0,1,1,0,1,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,8.39375,6.51875,11.18125,27.98125,5.84375,89.61875
2020/2/26,1261,12,22,1,3,63.33,6,8,1,1,1,0,1,2,0,1,1,0,0,0,1,1,0,1,0,51269185,26803,141175,3381632,3348194,33438,2818539,563093,7.58125,4.1125,12.01875,1.98125,5.1125,78.7625
