,Date,NewCases,lockdown_severity
0,2020-01-23,0.0,0
1,2020-01-24,0.0,0
2,2020-01-25,0.0,0
3,2020-01-26,0.0,0
4,2020-01-27,0.0,0
5,2020-01-28,0.0,0
6,2020-01-29,0.0,0
7,2020-01-30,0.0,0
8,2020-01-31,0.0,0
9,2020-02-01,0.0,0
10,2020-02-02,0.0,0
11,2020-02-03,0.0,0
12,2020-02-04,0.0,0
13,2020-02-05,0.0,0
14,2020-02-06,0.0,0
15,2020-02-07,0.0,0
16,2020-02-08,0.0,0
17,2020-02-09,0.0,0
18,2020-02-10,0.0,0
19,2020-02-11,0.0,0
20,2020-02-12,0.0,0
21,2020-02-13,0.0,0
22,2020-02-14,0.0,0
23,2020-02-15,0.0,0
24,2020-02-16,0.0,0
25,2020-02-17,0.0,0
26,2020-02-18,0.0,0
27,2020-02-19,0.0,0
28,2020-02-20,0.0,0
29,2020-02-21,0.0,0
30,2020-02-22,0.0,0
31,2020-02-23,0.0,0
32,2020-02-24,0.0,0
33,2020-02-25,0.0,0
34,2020-02-26,0.0,0
35,2020-02-27,1.0,0
36,2020-02-28,0.0,0
37,2020-02-29,5.0,0
38,2020-03-01,4.0,0
39,2020-03-02,8.0,0
40,2020-03-03,6.0,0
41,2020-03-04,14.0,0
42,2020-03-05,44.0,0
43,2020-03-06,46.0,3
44,2020-03-07,60.0,3
45,2020-03-08,77.0,3
46,2020-03-09,56.0,11
47,2020-03-10,61.0,19
48,2020-03-11,121.0,19
49,2020-03-12,0.0,48
50,2020-03-13,301.0,48
51,2020-03-14,155.0,48
52,2020-03-15,176.0,61
53,2020-03-16,278.0,66
54,2020-03-17,292.0,66
55,2020-03-18,346.0,66
56,2020-03-19,409.0,74
57,2020-03-20,534.0,74
58,2020-03-21,637.0,74
59,2020-03-22,573.0,74
60,2020-03-23,545.0,77
61,2020-03-24,811.0,77
62,2020-03-25,852.0,77
63,2020-03-26,1019.0,77
64,2020-03-27,1172.0,77
65,2020-03-28,1159.0,77
66,2020-03-29,1104.0,77
67,2020-03-30,884.0,77
68,2020-03-31,845.0,84
69,2020-04-01,1019.0,84
70,2020-04-02,1083.0,84
71,2020-04-03,1026.0,84
72,2020-04-04,904.0,84
73,2020-04-05,1224.0,84
74,2020-04-06,952.0,84
75,2020-04-07,777.0,84
76,2020-04-08,969.0,84
77,2020-04-09,1213.0,84
78,2020-04-10,1335.0,84
79,2020-04-11,1316.0,84
80,2020-04-12,1174.0,84
81,2020-04-13,964.0,84
82,2020-04-14,868.0,84
83,2020-04-15,734.0,84
84,2020-04-16,1061.0,84
85,2020-04-17,1235.0,84
86,2020-04-18,1140.0,84
87,2020-04-19,1066.0,84
88,2020-04-20,750.0,84
89,2020-04-21,729.0,84
90,2020-04-22,708.0,84
91,2020-04-23,887.0,84
92,2020-04-24,806.0,84
93,2020-04-25,655.0,84
94,2020-04-26,655.0,84
95,2020-04-27,400.0,84
96,2020-04-28,171.0,84
97,2020-04-29,386.0,84
98,2020-04-30,514.0,84
99,2020-05-01,475.0,84
100,2020-05-02,445.0,84
101,2020-05-03,335.0,84
102,2020-05-04,199.0,84
103,2020-05-05,317.0,84
104,2020-05-06,232.0,84
105,2020-05-07,455.0,84
106,2020-05-08,319.0,84
107,2020-05-09,289.0,84
108,2020-05-10,245.0,84
109,2020-05-11,161.0,76
110,2020-05-12,196.0,76
111,2020-05-13,227.0,76
112,2020-05-14,270.0,76
113,2020-05-15,200.0,76
114,2020-05-16,189.0,76
115,2020-05-17,125.0,76
116,2020-05-18,146.0,76
117,2020-05-19,108.0,76
